"V1";"V2";"V3";"V4";"V5";"V6";"V7";"Enota";"Kategorija"
"94";"Regrat";"45";"86,0";"2,7";"0,7";"0,0";"7,7";"100g";"zelenjava"
"104";"Motovilec";"20";"94,0";"2,0";"0";"0,0";"3";"100g";"zelenjava"
"114";"Peter?ilj";"20";"87,0";"4,0";"0";"0,0";"1";"100g";"zelenjava"
"124";"Radic, rdeci";"12";"95,0";"1,2";"0";"0,0";"1,7";"100g";"zelenjava"
"134";"Radic, zeleni";"24";"90,0";"1,8";"0,5";"0,0";"3,2";"100g";"zelenjava"
"144";"Solata, glavnata";"12";"96,0";"1,0";"0,4";"0,0";"1,2";"100g";"zelenjava"
"154";"Solata, zelena";"14";"96,0";"1,1";"0,1";"0,0";"2,2";"100g";"zelenjava"
"164";"?pinaca";"12";"92,0";"2,0";"0";"0,0";"1";"100g";"zelenjava"
"174";"Rabarbara";"12";"93,0";"1,0";"0";"0,0";"2";"100g";"zelenjava"
"183";"Articoka";"17";"86,0";"1,7";"0,2";"0,0";"2,3";"100g";"zelenjava"
"193";"Brokoli";"25";"90,0";"3,0";"0,4";"0,0";"2,5";"100g";"zelenjava"
"203";"Cvetaca, cvet";"25";"90,0";"3,2";"0,2";"0,0";"2,7";"100g";"zelenjava"
"216";"Grah, zrnje";"67";"79,0";"5,8";"0,4";"0,0";"10,6";"100g";"zelenjava"
"222";"Fi?ol, sve?i";"143";"65,0";"10,1";"1,5";"0,0";"21,8";"100g";"zelenjava"
"232";"Buce";"15";"95,0";"0,6";"sl,";"0,0";"3,4";"100g";"zelenjava"
"242";"Kumare";"14";"96,0";"0,7";"0,5";"0,0";"1,8";"100g";"zelenjava"
"252";"Paprika, rumena";"22";"93,0";"0,2";"0,3";"0,0";"5";"100g";"zelenjava"
"261";"Paprika, zelena";"16";"94,0";"0,5";"0,3";"0,0";"3,1";"100g";"zelenjava"
"271";"Paradi?nik";"14";"93,0";"0,9";"0";"0,0";"2,8";"100g";"zelenjava"
"281";"?parglji";"21";"92,0";"3,0";"0,1";"0,0";"2,3";"100g";"zelenjava"
"291";"Cebula, bela";"35";"87,0";"0,9";"sl,";"0,0";"8,5";"100g";"zelenjava"
"30";"Cebula, rdeca";"23";"93,0";"0,9";"sl,";"0,0";"5,2";"100g";"zelenjava"
"31";"Cesen";"136";"64,0";"6,0";"0";"0,0";"28";"100g";"zelenjava"
"32";"Por";"28";"90,0";"2,0";"0";"0,0";"5";"100g";"zelenjava"
"33";"Krompir";"87";"76,0";"2,1";"0,1";"0,0";"20,8";"100g";"zelenjava"
"34";"Pesa, kuhana";"32";"91,0";"1,1";"0,1";"0,0";"7";"100g";"zelenjava"
"35";"Kumarice, kisle";"10";"95,0";"0,5";"0,2";"0,0";"2";"100g";"zelenjava"
"36";"Zelje, kislo";"20";"92,0";"2,0";"0,3";"0,0";"3";"100g";"zelenjava"
"37";"Repa, kisla";"20";"92,0";"2,0";"0,3";"0,0";"3";"100g";"zelenjava"
"38";"Paprika, kisla";"15";"90,0";"0,8";"0,6";"0,0";"1,7";"100g";"zelenjava"
"39";"Paradi?nik, kecap";"140";"65,0";"1,0";"0";"0,0";"34";"100g";"zelenjava"
"40";"Paradi?nik, mezga";"39";"87,0";"1,7";"0";"0,0";"7";"100g";"zelenjava"
"217";"Grenivka";"28";"91,0";"0,0";"0";"0,0";"7";"100g";"sadje"
"314";"Limona";"12";"91,0";"0,0";"0";"0,0";"3";"100g";"sadje"
"45";"Mandarina";"34";"87,0";"0,9";"0";"0,0";"8";"100g";"sadje"
